,token
0,"['버섯', '관자', '방법', '송이버섯', '간장', '버터', '구이', '잎채소', '소스', '맛술', '올리고당']"
1,"['밥', '대패', '삼겹살', '점', '집', '백', '선생', '강추', '별미', '메뉴', '입맛', '공기', '덮밥', '대파', '뿌리', '설탕', '스푼', '맛', '간장', '진간장']"
2,"['새우', '식감', '부추', '전', '집들이', '손색', '칵테일', '마리', '단', '부침', '가루', '술', '청양', '고추', '물', '종이컵', '소금']"
3,"['조리', '과정', '집', '비주얼', '자랑', '닭', '봉', '조림', '어디', '누구', '인기', '만점', '간', '장조림', '십', '공유', '우유', '대파', '대', '소주', '컵', '밥숟가락', '계량', '간장', '설탕', '식초', '청주', '케첩', '물엿']"
4,"['밥도둑', '고추', '장박', '된장', '마늘', '대파', '참기름', '통깨', '매실', '원액', '설탕']"
5,"['손님', '상차림', '차돌박이', '찜', '모양', '추천', '메뉴', '미소', '장마', '소스', '맛', '업그레이드', '장', '깻잎', '팽이버섯', '묶음', '숙주나물', '주먹', '된장', '숟갈', '마요네즈', '올리고당', '마늘', '고춧가루', '청양', '고추', '것', '물']"
6,"['달걀', '뚜껑', '버거', '급', '살', '식단', '조절', '탄수화물', '시작', '다이어트', '도시락', '빵', '대신', '번', '햄버거', '가능', '슬라이스', '햄', '장', '치즈', '샐러드', '채소', '줌', '방울토마토', '소금', '식초', '스리', '차', '소스']"
7,"['나', '누구', '준비', '우', '삼', '겹', '덮밥', '간장', '반찬', '규동', '끼', '양파', '설탕', '술', '맛술', '올리고당', '마늘']"
8,"['봄', '소풍', '도시락', '야채', '소고기', '말', '불고기', '허브', '솔트', '피망', '쪽파', '무순', '팽이버섯', '물', '간장', '올리고당', '설탕', '미림']"
9,"['요즘', '햇감자', '저희', '친정집', '감자', '때문', '옆', '지기', '지인', '박스', '주문', '제철', '일본', '정식', '소고기', '감자조림', '니쿠자가', '이상', '니쿠', '고기', '뜻', '말', '야채', '간장', '반찬', '감칠맛', '찬', '불고기', '청', '고추', '홍고추', '물', '머그', '컵', '술', '올리고당', '참기름', '통깨', '밑간', '청주', '후추', '약간']"
10,"['완성', '차돌박이', '참나물', '샐러드', '과정', '모양새', '맛', '인기', '만점', '폼', '마늘', '스푼', '참기름', '간장', '멸치', '액젓', '식초', '고춧가루', '설탕', '깨', '약간']"
11,"['가격', '사태', '부추', '이용', '보', '양식', '소고기', '수육', '아롱사태', '단', '소금', '후추', '간장', '소스', '물', '식초', '설탕', '올리고당', '겨자', '고추장', '반장']"
12,"['안토시아닌', '함유', '항암', '예방', '가지', '혈압', '동맥', '경화', '매콤', '스테이크', '건강', '고추장', '마늘', '설탕', '적은', '올리고당', '참기름', '참깨']"
13,"['풋고추', '짐', '육', '번', '반찬', '술안주', '고추전', '고기', '육즙', '엄지', '척', '고추', '돼지고기', '당근', '센티', '대파', '계란', '마늘', '맛술', '후추', '맛소금', '참기름', '부침', '가루', '스푼']"
14,"['간장', '마늘', '향', '돼지고기', '꿀맛', '반찬', '밥', '공기', '아이', '조림', '위', '앞다리', '줌', '청주', '생강가루', '허브', '소금', '깨', '약간', '설탕', '올리고당', '굴', '소스', '맛술', '참기름', '물', '컵']"
15,"['삼겹살', '궁합', '부추', '양파', '무침', '무한리필', '사랑', '레', '대패', '황금', '줌', '고기', '밑간', '간장', '설탕', '참기름', '소금', '후추', '약간', '액젓', '고춧가루', '올리고당', '통깨']"
16,"['집들이', '메뉴', '뭐', '키', '캐스트', '삼겹살', '김치', '말', '찜', '게', '양', '근', '포기', '대파', '대', '홍고추', '청양', '고추', '사골', '곰탕', '시판', '봉', '고추장']"
17,"['돼지고기', '앞다리', '살', '돼지', '불고기', '인기', '메뉴', '마늘', '술', '대파', '대', '줄기', '생강', '즙', '깻잎', '선택', '진간장', '설탕', '맛술', '청주', '참기름', '후춧가루', '약간']"
18,"['양념장', '간장', '베이스', '소스', '돼지', '목살', '숙성', '돼지고기', '느낌', '맛', '구이', '달', '설탕', '진간장', '물엿', '간', '마늘', '술', '생강가루', '집', '맛술', '굴', '후', '추가', '대파', '거']"
19,"['닭고기', '아이', '건강', '닭', '가슴살', '갈릭', '버섯볶음', '송이버섯', '올리브유', '간장', '물엿', '마늘', '설탕', '바질']"
20,"['양파', '거기', '냉장고', '자투리', '채소', '닭', '가슴살', '속', '달걀', '각종', '야채', '소금', '약간']"
21,"['날씨', '입맛', '겨자', '소스', '닭', '가슴살', '냉채', '자극', '것', '최고', '거기', '야채', '칼로리', '빨강', '파프리카', '노랑', '양파', '오이', '맛살', '술', '간장', '꿀', '마늘', '식초', '물']"
22,"['게', '콩나물', '냉채', '식감', '집', '갖가지', '채소', '다이어트', '실', '곤약', '소금', '닭', '가슴살', '당근', '파프리카', '고추', '간장', '술', '물', '마늘', '식초', '설탕', '깨']"
23,"['요즘', '핫', '원왕', '갈비', '통닭', '추가', '맞춤', '황금', '수원', '왕', '프라이어', '닭다리', '밑간', '계량', '맛술', '스푼', '소금', '생강가루', '식용유', '후춧가루', '약간', '맛', '양념장', '분량', '진간장', '설탕', '고춧가루', '티스푼', '콜라', '당', '참기름', '양파', '청양', '고추', '홍고추', '마늘']"
24,"['남편', '치킨', '번', '앞', '일', '것', '스테이크', '굽', '닭다리', '정육', '대형', '마트', '코스트코', '구매', '가능', '유', '소금', '올리고당', '마늘', '통후추', '올리브유', '대신', '진간장', '사용', '진간', '장보', '답니다']"
25,"['알토란', '이보은', '중요', '가지', '순서', '누가', '맛', '마늘종', '볶음', '손', '가요', '건', '새우', '물', '컵', '소금', '술', '설탕', '간장', '식용유', '참기름', '물엿', '통깨']"
26,"['감자전', '과', '감자떡', '사이', '일본식', '이모', '모찌', '필수', '크기', '감자', '전분', '스푼', '소금', '집', '소스', '간장', '올리고당', '맛술', '물', '추가', '버터', '조각', '치즈', '약간']"
27,"['마늘', '몸', '건', '구용', '아몬드', '조림', '식', '맛', '때문', '반찬', '집', '최애', '통마늘', '알', '줌', '통깨', '식용유', '약간', '간장', '물', '물엿']"
28,"['깻잎', '분', '밥도둑', '반찬', '찜', '전자레인지', '완성', '장', '양파', '대파', '양조간장', '진간장', '고춧가루', '마늘', '액젓', '설탕', '물', '참기름']"
29,"['한입', '쏙', '핑거', '푸드', '스터프드', '에그', '달걀', '오이', '슬라이스', '햄', '장', '파슬리', '줄기', '마요네즈', '머스터드', '소금', '후춧가루', '약간']"
30,"['냉장고', '칭', '구들', '에어', '프라이어', '샐러드', '저녁', '채식', '위주', '표', '버섯', '채소', '구이', '필수', '송이버섯', '양송이버섯', '빨강', '파프리카', '노랑', '양파', '가지', '애호박', '소금', '후추', '올리브', '오일']"
31,"['냉동실', '냉동', '새우', '간식', '술안주', '아이', '갈릭', '요거', '줌', '마요네즈', '술', '마늘', '설탕', '밑간', '후추', '소금', '약간']"
32,"['쌀', '요즘', '날', '어묵', '난', '맛', '양념장', '이거', '간식', '안주', '반찬', '끝']"
33,"['여름', '옷', '건', '다이어트', '고민', '끼', '미역', '초', '샐러드', '간장', '드레싱', '와사비', '인분', '오이', '양파', '것', '통깨', '조금', '스푼', '물', '식초', '설탕', '연와', '사비', '취향', '선택', '냉동', '새우', '마리', '미림', '해물', '믹스', '적당량']"
34,"['새우', '당근', '고추', '찜', '어묵', '밥반찬', '아이', '간식', '야채', '전분', '스푼', '소금', '후추', '조금']"
35,"['만두', '추석', '가족', '건강', '게', '꺼', '어만두', '이게', '필수', '구살', '오징어', '마리', '배추', '장', '부추', '봉', '두부', '모', '숙주', '밀가루', '소금', '약간', '마늘', '생강', '청주', '후추', '액젓', '참기름', '달걀']"
36,"['오징어', '단백질', '식품', '타우린', '활동', '량', '아이', '팜', '통', '집', '인기', '반찬', '맛', '보장', '구이', '밥', '살', '술안주', '손질', '마리', '맛술', '양조간장', '올리고당', '고추장', '기호', '올리브유', '마늘', '참기름']"
37,"['평소', '간장', '베이스', '계란장조림', '편', '알토란', '고추장', '계란', '장조림', '저', '우왕', '밥', '밥도둑', '반찬', '달걀조림', '달걀', '양파', '청양', '고추', '쪽파', '대파', '멸치', '육수', '컵', '고춧가루', '진간장', '설탕', '물엿', '참기름', '깨', '후추']"
38,"['반찬', '부추', '달걀', '볶음', '밥', '위', '덮밥', '백종원', '줌', '식용유', '술', '공기', '굴', '소스', '참기름']"
39,"['냉장고', '계란', '끼', '식사', '처음', '분', '영양', '만점', '게맛살', '계란덮밥', '소금', '취향', '식용유', '물', '간장', '설탕', '소스', '전분']"
40,"['집', '이색', '파스타', '나', '붓', '건', '스파게티', '면', '계란', '노른자', '가쓰오', '유', '시중', '제품', '설탕', '티스', '취향', '조절', '고명', '통깨', '김', '장', '파', '쪽', '마늘', '티스푼', '튀김', '가루']"
41,"['설탕', '재미', '크림', '브륄', '레', '디저트', '오븐', '커스터드', '푸딩', '방식', '맛', '노', '바나나', '우유', '원', '계란', '노른자', '알', '옥수수', '전분', '술', '소금', '집']"
42,"['단거', '집', '마다', '하나', '노', '오븐', '노계', '버터', '디저트', '추천', '머그', '컵', '쇼콜라', '초콜렛', '다크', '스푼', '설탕', '카', '라유', '올리브유', '계란', '밀가루', '아무거', '핫초코', '가루']"
43,"['아이', '간식', '딸기', '잼', '한입', '거', '롤', '식빵', '술', '달걀', '슈가', '파우더', '버터']"
44,"['사', '것', '우동', '초', '백종원', '사리', '대파', '컵', '어묵', '양배추', '간장', '고추장', '고춧가루', '설탕']"
45,"['휘리', '릭', '아이', '간식', '안성맞춤', '토스트', '핫도그', '식빵', '장', '슬라이스', '치즈', '소시지', '달걀', '설탕', '술', '우유']"
46,"['간식', '카라멜', '식빵', '팝콘', '설탕', '컵', '물', '스푼', '버터', '우유']"
47,"['무침', '만두', '비빔', '학교', '앞', '분식집', '줄', '애플', '하우스', '시그', '떡볶이', '간식', '냉동', '식용유', '약간', '케첩', '술', '고추', '가루', '고추장', '진간장', '올리고당', '설탕', '마늘', '물']"
48,"['그릇', '다이어트', '책', '고구마', '빵', '단호박', '대체', '강추', '노', '오븐', '버터', '밀가루', '케익', '달걀', '꿀', '술', '견과', '선택', '사항', '줌']"
49,"['에어', '프라이어', '간식', '너', '정', '바사', '혼자', '인줄', '식빵', '팝콘', '필수', '장', '설탕', '식용유', '당량']"
50,"['집', '영화', '경우', '데', '준비', '식빵', '팝콘', '카라멜', '홈', '극장', '별미', '장', '물', '설탕', '우유', '버터']"
51,"['반찬', '떡', '베이컨', '간', '장조림', '대파', '간장', '참기름', '물엿', '기름']"
52,"['평소', '계란', '후', '대신', '들기름', '사용', '백', '주부', '번', '김', '가루', '꿀맛', '백종원', '라이', '대파', '대', '국간', '장', '통깨']"
53,"['봄철', '입맛', '상추', '겉절이', '한국식', '샐러드', '밥', '고기', '반찬', '초스피드', '신혼', '밥상', '분', '장', '고춧가루', '술', '마늘', '간장', '설탕', '스푼', '식초', '참기름', '통깨']"
54,"['자루', '소바', '판', '모밀', '소면', '버전', '국수', '끝', '나', '여름', '메뉴', '대신', '식감', '인분', '소스', '유', '술', '물', '청양', '고추', '당량', '파', '와사비', '김']"
55,"['밖', '기본', '원', '퀘', '사', '디아', '집', '전자', '렌지', '매콤', '참치', '또띠', '장', '캔', '치즈', '취향', '양파', '청양', '고추', '토마토소스']"
56,"['조리법', '순식간', '음식', '맛', '환상', '딸아이', '차돌박이', '숙주', '찜', '팩', '숙주나물', '청량', '고추', '간장', '굴', '소스', '소금', '후추', '참기름']"
57,"['고추가', '고기', '쌈', '그릇', '밥', '위', '진리', '일', '듯', '소고기', '갈비', '살', '양', '거', '생각', '인기', '메뉴', '혼', '초스피드', '매콤', '덮밥', '황금', '그램', '양파', '소스', '고추장', '술', '고춧가루', '굴', '올리고당', '매실', '청', '맛술', '마늘', '후추', '약간']"
58,"['집', '소고기', '육', '무얼', '고민', '수제', '떡갈비', '양파', '당근', '대파', '계란', '생략', '가능', '간장', '맛술', '꿀', '올리고당', '참기름', '마늘', '생강가루', '약간']"
59,"['두부', '분', '냉동실', '우', '삼', '겹', '모', '꽃소금', '집', '후추', '주먹', '양파', '대파', '양념장', '고추장', '스푼', '고춧가루', '설탕', '마늘', '진간장', '생수']"
60,"['영양', '일석', '조', '분', '봄철', '샐러드', '차돌', '백', '이', '부추', '무침', '소금', '발사믹', '식초', '올리브유', '올리고당']"
61,"['일반', '피자', '도우', '때문', '분', '불고기', '치즈', '야채', '제', '게', '집', '거', '가지', '완성', '또띠', '소고기', '주먹', '양송이', '버섯', '양파', '애호박', '모', '렐라', '마늘', '가루', '간장', '설탕']"
62,"['명절날', '동그랑땡', '집', '깨', '블로그', '명절', '음식', '유', '화이트', '야채', '슬라이', '활용', '돼지', '육', '호박', '당근', '양파', '부침', '두부', '모', '표고버섯', '계란', '간장', '소금', '후추', '양심', '참깨', '박']"
63,"['이젠', '흰죽', '조금', '아들', '삼겹살', '형', '장조림', '하나', '무리', '말', '고기', '소금', '김치', '간', '게', '것', '구이', '거', '건지', '혼자', '철판', '대', '그릇', '환자식', '나름', '아이', '어르신', '반찬', '제', '마음', '끼', '어른', '영양', '조림', '컵', '소스', '양파', '절임', '간장', '마늘', '맛술', '꿀', '후추']"
64,"['삼겹살', '기름기', '맘', '샐러드', '잎채소', '된장', '술', '맛술', '드레싱', '간장', '식초', '매실', '청', '참기름', '깨소금', '마늘']"
65,"['분', '숙주', '기름기', '삼겹살', '플러스', '소스', '대박', '술안주', '손님', '초대', '메뉴', '강추', '신혼', '밥상', '대패', '찜', '봉', '대파', '대', '양파', '간장', '고춧가루', '스푼', '술', '설탕', '식초', '레몬', '즙', '참깨', '통깨', '땅콩', '땅콩버터', '미림', '와사비', '티스푼']"
66,"['수육', '집', '구이', '돼지', '목살', '거', '날', '유통', '기한', '맥주', '이것저것', '부', '앞', '원두커피', '새우젓', '쌈장', '대충', '된장', '술', '생강', '조각', '통후추', '커피']"
67,"['목', '우촌', '주부', '단', '공모전', '아차', '님', '이', '건', '무엇', '고민', '귀차', '니즘', '발동', '날', '추천', '초초', '만렙', '소시지', '계란빵', '번', '초', '아이', '간식', '계란', '프랑크', '식빵', '봉지']"
68,"['사랑', '치', '느', '부담', '생닭', '치킨', '너겟', '분', '간장', '맛', '동시', '견과', '아몬드', '땅콩', '줌', '생략', '가능', '진간장', '스푼', '밥', '수저', '설탕', '올리고당', '마늘', '매실', '액', '맛술', '물']"
69,"['반찬', '그릇', '닭고기덮밥', '닭고기', '양파', '계란', '알', '밥', '공기', '밑간', '미림', '소금', '후추', '양념장', '간장', '설탕', '물', '컵']"
70,"['다이어트', '시작', '반찬', '것', '신경', '딸', '식품', '닭', '가슴살', '제품', '맛', '게', '함정', '제', '입맛', '아들', '덕분', '듯', '건강', '유의', '영양', '가지전', '스테이크', '가지', '표고버섯', '찹쌀가루', '계란', '올리브', '오', '일', '맛소금', '기호', '후추']"
71,"['입맛', '요즘', '미나리', '닭', '가슴살', '무침', '오이', '고춧가루', '간장', '식초', '올리고당', '참기름', '마늘', '진파', '통깨']"
72,"['백', '주부', '번', '백종원', '찜', '닭', '마리', '감자', '당근', '양파', '당면', '후추', '소주', '약간', '간장', '컵', '물', '설탕', '마늘', '술', '진파', '줌', '청양', '고추', '참기름']"
73,"['치킨', '상추', '샐러드', '닭', '가슴살', '안심살', '간장', '국물', '생수', '마늘', '올리고당', '식초', '올리브', '오일', '고추냉이', '가루']"
74,"['밥도둑', '닭', '구이', '데리야키', '치킨', '아이', '밥반찬', '아빠', '술안주', '닭다리', '안심살', '통깨', '약간', '간장', '술', '고춧가루', '설탕', '물엿', '맛술', '마늘', '진파', '참기름', '후춧가루']"
75,"['달걀', '시금치', '볶음', '단', '알', '기름', '진파', '줌', '소금', '집']"
76,"['집', '특별', '달', '매콤', '양파', '전', '도시락', '반찬', '닦', '손님', '접대', '술안주', '부침', '가루', '술', '스팸', '햄', '당근', '청양', '고추', '홍고추', '계란', '식용유', '약간']"
77,"['집', '참치', '감자', '뭘', '백종원', '씨', '저녁', '반찬', '감자조림', '캔', '거', '양파', '대파', '줌', '청양', '고추', '양념장', '고추장', '스푼', '고춧가루', '간장', '마늘', '설탕', '물', '후추']"
78,"['양배추', '쌈', '배추쌈', '롤', '식감', '쪽', '상추', '소금', '술', '밥', '공기', '두부', '참치', '쌈장']"
79,"['감자', '분', '카레', '가루', '전', '건', '초스피드', '반찬', '유아', '튀김', '소금', '올리브유']"
80,"['새우', '연두부', '달걀', '탕', '팩', '마리', '쪽파', '줌', '다시마', '장', '간장']"
81,"['숙주', '새우', '달걀', '휘리', '릭', '반찬', '볶음', '줌', '마리', '양파', '청양', '고추', '쪽파', '양념장', '굴', '소스', '간장', '마늘', '참기름', '후추', '통깨', '약간', '밑간', '청주', '소금']"
82,"['일본', '맛', '초스피드', '오', '코노미', '식사', '대용', '간식', '안주', '끼', '해산물', '양배추', '통', '오징어', '것', '한줌', '마리', '새우', '양파', '후추', '부시', '줌', '달걀', '부침', '가루', '술', '마요네즈', '소바', '소스', '돈', '까스']"
83,"['아이', '반찬', '술안주', '오징어', '하나', '간', '장조림', '물오징어', '마리', '슬라이스', '마늘', '줌', '간장', '술', '올리고당', '미림', '후추', '통깨', '약간']"
84,"['새해', '시작', '사람', '목표', '가지', '다이어트', '중', '음식', '맛', '수준', '몇일', '평소', '골뱅이', '무침', '거', '가족', '퇴근길', '분', '안', '메인', '메뉴', '캔', '오이', '양배추', '줌', '당근', '센티', '양파', '고추장', '고춧가루', '진간장', '설탕', '식초', '마늘', '참기름']"
85,"['이거', '끼', '반찬', '명란', '찜', '황금', '줄', '계란', '알', '대파', '대', '마늘', '스푼']"
